Année,Mois,Valeur
2019,Janvier,14944.0
2019,Fevrier,20508.0
2019,Mars,21304.0
2019,Avril,24825.0
2019,Mai,21011.0
2019,Juin,23141.0
2019,Juillet,34229.0
2019,Août,27079.0
2019,Septembre,26396.0
2019,Octobre,32366.0
2019,Novembre,35162.0
2019,Décembre,25319.0
2023,Janvier,10310.0
2023,Fevrier,15206.0
2023,Mars,13817.0
2023,Avril,20932.0
2023,Mai,18881.0
2023,Juin,17170.0
2023,Juillet,25915.0
2023,Août,24551.0
2023,Septembre,24087.0
2023,Octobre,29944.0
2023,Novembre,28321.0
2023,Décembre,30718.0
2024,Janvier,38754.0
2024,Fevrier,31071.0
2024,Mars,15910.0
2024,Avril,20237.0
2024,Mai,22349.0
2024,Juin,19501.0
2024,Juillet,26243.0
2024,Août,28834.0
2024,Septembre,24487.0
2024,Octobre,28546.0
2024,Novembre,30223.0
2024,Décembre,30718.0
2025,Janvier,30263.0
2025,Fevrier,17722.0
2025,Mars,15582.0
2025,Avril,32483.0
2025,Mai,29664.0
2025,Juin,25043.0
2025,Juillet,35835.0
2025,Août,30341.0
2025,Septembre,31207.0
2025,Octobre,26367.0
2025,Novembre,24927.0
2025,Décembre,
